bank_entry_id,bank_date,amount,direction,narration,utr,transaction_type,created_at
BANK-0001,2024-12-09 12:51:00,5513048,CREDIT,NEFT CR UTR642181600903 RAZORPAY PAYMENTS LTD,UTR642181600903,SETTLEMENT,2024-12-09 12:51:00
BANK-0002,2024-12-08 14:14:00,1567611,CREDIT,NEFT CR UTR926818232569 RAZORPAY PAYMENTS LTD,UTR926818232569,SETTLEMENT,2024-12-08 14:14:00
BANK-0003,2024-12-09 17:28:00,3283927,CREDIT,NEFT CR UTR228631509102 RAZORPAY PAYMENTS LTD,UTR228631509102,SETTLEMENT,2024-12-09 17:28:00
BANK-0004,2024-12-10 11:11:00,4710838,CREDIT,NEFT CR UTR165581090583 RAZORPAY PAYMENTS LTD,UTR165581090583,SETTLEMENT,2024-12-10 11:11:00
BANK-0005,2024-12-11 12:25:00,4468434,CREDIT,NEFT CR UTR608173385546 RAZORPAY PAYMENTS LTD,UTR608173385546,SETTLEMENT,2024-12-11 12:25:00
BANK-0006,2024-12-12 06:28:00,9884586,CREDIT,NEFT CR UTR549052235770 RAZORPAY PAYMENTS LTD,UTR549052235770,SETTLEMENT,2024-12-12 06:28:00
BANK-0007,2024-12-11 23:48:00,1619067,CREDIT,NEFT CR UTR546800751007 RAZORPAY PAYMENTS LTD,UTR546800751007,SETTLEMENT,2024-12-11 23:48:00
BANK-0008,2024-12-12 08:49:00,7345555,CREDIT,NEFT CR UTR356124109617 RAZORPAY PAYMENTS LTD,UTR356124109617,SETTLEMENT,2024-12-12 08:49:00
BANK-0009,2024-12-24 09:23:00,6316198,CREDIT,NEFT CR UTR392137760599 RAZORPAY PAYMENTS LTD,UTR392137760599,SETTLEMENT,2024-12-24 09:23:00
BANK-0010,2024-12-14 12:58:00,6711579,CREDIT,NEFT CR UTR841251967484 RAZORPAY PAYMENTS LTD,UTR841251967484,SETTLEMENT,2024-12-14 12:58:00
BANK-0011,2024-12-16 14:36:00,2278332,CREDIT,NEFT CR UTR371018919289 RAZORPAY PAYMENTS LTD,UTR371018919289,SETTLEMENT,2024-12-16 14:36:00
BANK-0012,2024-12-15 18:30:00,1537147,CREDIT,NEFT CR UTR713162322852 RAZORPAY PAYMENTS LTD,UTR713162322852,SETTLEMENT,2024-12-15 18:30:00
BANK-0013,2024-12-16 18:40:00,5209290,CREDIT,NEFT CR UTR966086816343 RAZORPAY PAYMENTS LTD,UTR966086816343,SETTLEMENT,2024-12-16 18:40:00
BANK-0014,2024-12-28 18:42:00,4651570,CREDIT,NEFT CR UTR431251806612 RAZORPAY PAYMENTS LTD,UTR431251806612,SETTLEMENT,2024-12-28 18:42:00
BANK-0015,2024-12-18 07:44:00,8231443,CREDIT,NEFT CR UTR549117195229 RAZORPAY PAYMENTS LTD,UTR549117195229,SETTLEMENT,2024-12-18 07:44:00
BANK-0016,2024-12-20 11:36:00,2910258,CREDIT,NEFT CR UTR192109792426 RAZORPAY PAYMENTS LTD,UTR192109792426,SETTLEMENT,2024-12-20 11:36:00
BANK-0017,2024-12-22 06:55:00,3480476,CREDIT,NEFT CR UTR325487640087 RAZORPAY PAYMENTS LTD,UTR325487640087,SETTLEMENT,2024-12-22 06:55:00
BANK-0018,2024-12-22 08:48:00,6831383,CREDIT,NEFT CR UTR508633354870 RAZORPAY PAYMENTS LTD,UTR508633354870,SETTLEMENT,2024-12-22 08:48:00
BANK-0019,2024-12-21 11:29:00,4660075,CREDIT,NEFT CR UTR959715822589 RAZORPAY PAYMENTS LTD,UTR959715822589,SETTLEMENT,2024-12-21 11:29:00
BANK-0020,2024-12-23 07:31:00,3139154,CREDIT,NEFT CR UTR689463480106 RAZORPAY PAYMENTS LTD,UTR689463480106,SETTLEMENT,2024-12-23 07:31:00
BANK-0021,2024-11-26 20:42:00,9133344,CREDIT,NEFT CR UTR567947908034 RAZORPAY PAYMENTS LTD,UTR567947908034,SETTLEMENT,2024-11-26 20:42:00
BANK-0022,2024-11-29 03:21:00,2115273,CREDIT,NEFT CR UTR596305599781 RAZORPAY PAYMENTS LTD,UTR596305599781,SETTLEMENT,2024-11-29 03:21:00
BANK-0023,2024-11-29 11:28:00,6283916,CREDIT,NEFT CR UTR100179495626 RAZORPAY PAYMENTS LTD,UTR100179495626,SETTLEMENT,2024-11-29 11:28:00
BANK-0024,2024-11-29 02:42:00,2067820,CREDIT,NEFT CR UTR610296419114 RAZORPAY PAYMENTS LTD,UTR610296419114,SETTLEMENT,2024-11-29 02:42:00
BANK-0025,2024-12-11 13:56:00,2919046,CREDIT,NEFT CR UTR420493594618 RAZORPAY PAYMENTS LTD,UTR420493594618,SETTLEMENT,2024-12-11 13:56:00
BANK-0026,2024-12-01 04:33:00,4566428,CREDIT,NEFT CR UTR100718898818 RAZORPAY PAYMENTS LTD,UTR100718898818,SETTLEMENT,2024-12-01 04:33:00
BANK-0027,2024-12-03 02:14:00,2182743,CREDIT,NEFT CR UTR758303823468 RAZORPAY PAYMENTS LTD,UTR758303823468,SETTLEMENT,2024-12-03 02:14:00
BANK-0028,2024-12-05 19:56:00,3015710,CREDIT,NEFT CR UTR519532396020 RAZORPAY PAYMENTS LTD,UTR519532396020,SETTLEMENT,2024-12-05 19:56:00
BANK-0029,2024-12-05 06:28:00,2121913,CREDIT,NEFT CR UTR486543800499 RAZORPAY PAYMENTS LTD,UTR486543800499,SETTLEMENT,2024-12-05 06:28:00
BANK-0030,2024-12-07 00:15:00,4076404,CREDIT,NEFT CR UTR795107981187 RAZORPAY PAYMENTS LTD,UTR795107981187,SETTLEMENT,2024-12-07 00:15:00
BANK-0031,2024-12-07 03:50:00,8175424,CREDIT,NEFT CR UTR740863899140 RAZORPAY PAYMENTS LTD,UTR740863899140,SETTLEMENT,2024-12-07 03:50:00
BANK-0061,2024-12-28 10:00:00,1757520,CREDIT,NEFT CR UTR2A001BATCH123 RAZORPAY BATCH SETTLEMENT,UTR2A001BATCH123,SETTLEMENT,2024-12-28 10:00:00
BANK-0062,2024-12-29 14:00:00,979500,CREDIT,NEFT CR UTR2A002MISMATCH RAZORPAY PAYMENTS LTD,UTR2A002MISMATCH,SETTLEMENT,2024-12-29 14:00:00
BANK-0063,2024-12-30 09:00:00,764600,CREDIT,NEFT CR UTR2A003REFUND01 RAZORPAY PAYMENTS LTD,UTR2A003REFUND01,SETTLEMENT,2024-12-30 09:00:00
BANK-0064,2024-12-31 11:00:00,1225000,CREDIT,NEFT CR UTR2A004NOGST001 RAZORPAY PAYMENTS LTD,UTR2A004NOGST001,SETTLEMENT,2024-12-31 11:00:00
BANK-0065,2025-01-01 09:00:00,878760,CREDIT,NEFT CR UTR2A005AMBIG001 RAZORPAY PAYMENTS LTD,UTR2A005AMBIG001,SETTLEMENT,2025-01-01 09:00:00
BANK-0066,2025-01-01 10:30:00,878760,CREDIT,NEFT CR RAZORPAY SETTLEMENT REF 2A005,,SETTLEMENT,2025-01-01 10:30:00
BANK-0032,2024-07-30 17:57:00,3704500,CREDIT,NEFT CR UTR876085514805 UNKNOWN SENDER,UTR876085514805,SETTLEMENT,2024-07-30 17:57:00
BANK-0033,2024-07-20 17:05:00,1008000,CREDIT,NEFT CR UTR815752422704 UNKNOWN SENDER,UTR815752422704,SETTLEMENT,2024-07-20 17:05:00
BANK-0034,2024-10-02 00:57:00,4901400,CREDIT,NEFT CR UTR996926970536 UNKNOWN SENDER,UTR996926970536,SETTLEMENT,2024-10-02 00:57:00
BANK-0035,2024-08-15 21:07:00,4440700,CREDIT,NEFT CR UTR515807729297 UNKNOWN SENDER,UTR515807729297,SETTLEMENT,2024-08-15 21:07:00
BANK-0036,2024-05-23 21:58:00,1222500,DEBIT,INTERNET & PHONE BILL,,UTILITY,2024-05-23 21:58:00
BANK-0037,2024-04-08 02:52:00,1043400,DEBIT,SALARY CREDIT - STAFF,,SALARY,2024-04-08 02:52:00
BANK-0038,2024-04-23 07:31:00,1239400,DEBIT,ADVERTISING - META ADS,,MARKETING,2024-04-23 07:31:00
BANK-0039,2024-01-19 08:31:00,735100,DEBIT,ADVERTISING - GOOGLE ADS,,MARKETING,2024-01-19 08:31:00
BANK-0040,2024-01-04 06:52:00,1347800,DEBIT,OFFICE SUPPLIES PURCHASE,,VENDOR,2024-01-04 06:52:00
BANK-0041,2024-02-26 08:36:00,1689400,DEBIT,TDS PAYMENT - GOVT,,TAX,2024-02-26 08:36:00
BANK-0042,2024-09-09 05:35:00,684900,DEBIT,GST PAYMENT - GOVT,,TAX,2024-09-09 05:35:00
BANK-0043,2024-12-03 23:36:00,1901800,DEBIT,SUBSCRIPTION - SAAS TOOLS,,INFRA,2024-12-03 23:36:00
BANK-0044,2024-03-30 02:37:00,470200,DEBIT,ELECTRICITY BILL PAYMENT,,UTILITY,2024-03-30 02:37:00
BANK-0045,2024-02-03 04:16:00,1917400,DEBIT,NEFT DR - WAREHOUSE RENT,,VENDOR,2024-02-03 04:16:00
BANK-0046,2024-04-26 16:46:00,948900,DEBIT,VENDOR PAYMENT - PACKAGING SUPPLIES,,VENDOR,2024-04-26 16:46:00
BANK-0047,2024-04-08 21:01:00,1796300,DEBIT,INSURANCE PREMIUM PAYMENT,,INSURANCE,2024-04-08 21:01:00
BANK-0048,2024-11-10 08:43:00,1885300,DEBIT,PLATFORM FEE - MARKETPLACE,,FEE,2024-11-10 08:43:00
BANK-0049,2024-08-20 00:27:00,219900,DEBIT,COURIER SERVICE PAYMENT,,VENDOR,2024-08-20 00:27:00
BANK-0050,2024-06-14 13:54:00,1383200,DEBIT,AWS CLOUD SERVICES,,INFRA,2024-06-14 13:54:00
BANK-0051,2024-05-20 03:43:00,434500,CREDIT,INTEREST CREDIT - SAVINGS ACCOUNT,,INTEREST,2024-05-20 03:43:00
BANK-0052,2024-08-26 15:23:00,433700,CREDIT,REFUND FROM VENDOR - PACKAGING,,REFUND,2024-08-26 15:23:00
BANK-0053,2024-01-23 23:14:00,48400,CREDIT,REFUND FROM COURIER PARTNER,,REFUND,2024-01-23 23:14:00
BANK-0054,2024-05-22 13:34:00,377700,CREDIT,BANK CASH BACK,,CASHBACK,2024-05-22 13:34:00
BANK-0055,2024-06-10 00:25:00,169400,CREDIT,SECURITY DEPOSIT REFUND,,REFUND,2024-06-10 00:25:00
BANK-0056,2024-06-20 02:56:00,478400,CREDIT,INTEREST CREDIT - FD,,INTEREST,2024-06-20 02:56:00
BANK-0057,2024-01-13 23:14:00,357100,CREDIT,ADVANCE REFUND - SUPPLIER,,REFUND,2024-01-13 23:14:00
BANK-0058,2024-02-08 07:12:00,144700,CREDIT,FESTIVAL BONUS CREDIT,,BONUS,2024-02-08 07:12:00
BANK-0059,2024-06-17 09:04:00,89200,CREDIT,AFFILIATE COMMISSION CREDIT,,COMMISSION,2024-06-17 09:04:00
BANK-0060,2024-01-15 15:27:00,29600,CREDIT,INSURANCE CLAIM SETTLED,,INSURANCE,2024-01-15 15:27:00
