order_id,customer_id,order_amount,currency,order_date,payment_mode,order_status,created_at
ORD-10001,CUST-1058,750500,INR,2024-05-05 07:08:00,upi,paid,2024-05-05 07:08:00
ORD-10002,CUST-1280,495500,INR,2024-01-17 00:05:00,card,paid,2024-01-17 00:05:00
ORD-10003,CUST-1259,193300,INR,2024-10-14 06:45:00,upi,paid,2024-10-14 06:45:00
ORD-10004,CUST-1280,380400,INR,2024-08-17 18:17:00,netbanking,paid,2024-08-17 18:17:00
ORD-10005,CUST-1004,223000,INR,2024-06-23 08:09:00,card,paid,2024-06-23 08:09:00
ORD-10006,CUST-1173,803800,INR,2024-07-13 03:22:00,netbanking,paid,2024-07-13 03:22:00
ORD-10007,CUST-1136,398700,INR,2024-08-23 17:07:00,wallet,paid,2024-08-23 17:07:00
ORD-10008,CUST-1194,390000,INR,2024-11-17 19:56:00,netbanking,paid,2024-11-17 19:56:00
ORD-10009,CUST-1099,44100,INR,2024-01-24 21:14:00,upi,paid,2024-01-24 21:14:00
ORD-10010,CUST-1041,232600,INR,2024-07-13 08:29:00,upi,paid,2024-07-13 08:29:00
ORD-10011,CUST-1187,201500,INR,2024-06-30 06:42:00,card,paid,2024-06-30 06:42:00
ORD-10012,CUST-1037,430200,INR,2024-09-30 23:15:00,card,paid,2024-09-30 23:15:00
ORD-10013,CUST-1195,143900,INR,2024-04-22 21:20:00,netbanking,paid,2024-04-22 21:20:00
ORD-10014,CUST-1029,176100,INR,2024-06-10 12:17:00,card,paid,2024-06-10 12:17:00
ORD-10015,CUST-1162,488800,INR,2024-07-21 20:29:00,card,paid,2024-07-21 20:29:00
ORD-10016,CUST-1072,760100,INR,2024-10-14 17:16:00,upi,paid,2024-10-14 17:16:00
ORD-10017,CUST-1220,213400,INR,2024-07-04 07:08:00,upi,paid,2024-07-04 07:08:00
ORD-10018,CUST-1047,452600,INR,2024-02-26 04:40:00,card,paid,2024-02-26 04:40:00
ORD-10019,CUST-1217,253900,INR,2024-07-16 12:38:00,wallet,paid,2024-07-16 12:38:00
ORD-10020,CUST-1271,143200,INR,2024-01-06 21:46:00,card,paid,2024-01-06 21:46:00
ORD-10021,CUST-1275,99500,INR,2024-02-27 09:27:00,card,paid,2024-02-27 09:27:00
ORD-10022,CUST-1002,374600,INR,2024-05-14 16:48:00,card,paid,2024-05-14 16:48:00
ORD-10023,CUST-1055,101000,INR,2024-11-23 16:38:00,card,paid,2024-11-23 16:38:00
ORD-10024,CUST-1192,270800,INR,2024-09-28 00:38:00,upi,paid,2024-09-28 00:38:00
ORD-10025,CUST-1010,1689300,INR,2024-06-06 07:03:00,card,paid,2024-06-06 07:03:00
ORD-10026,CUST-1041,548000,INR,2024-02-05 17:49:00,card,paid,2024-02-05 17:49:00
