settlement_id,payment_id,amount,fee,tax,net_amount
SETL-9001,pay_ejcy127h6gmd47,1003100,20062,3611,979427
SETL-9001,pay_zx25qbrmqg1ved,797500,15950,2871,778679
SETL-9001,pay_7b1ijiys2n75bx,445500,8910,1603,434987
SETL-9001,pay_tgv44ftj5ccasb,1986700,39734,7152,1939814
SETL-9001,pay_qnezw9heyce4qg,122200,2444,439,119317
SETL-9001,pay_83y0224wk0yehv,380600,7612,1370,371618
SETL-9001,pay_774rzgyd49pso1,130400,2608,469,127323
SETL-9001,pay_12v2tg5pizx3hc,356000,7120,1281,347599
SETL-9001,pay_2hhihxs58yreg2,424300,8486,1527,414287
SETL-9002,pay_rnu8c0s41kssvi,111700,2234,402,109064
SETL-9002,pay_1kfk7y6qxdsgv6,35800,716,128,34956
SETL-9002,pay_9zn9i9h0dxho87,211700,4234,762,206704
SETL-9002,pay_yur4sor8wm9lbb,107800,2156,388,105256
SETL-9002,pay_9q2l48c1cqg433,278200,5564,1001,271635
SETL-9002,pay_2pnjka34mqa78r,85800,1716,308,83776
SETL-9002,pay_twyam1n0lh9p89,73100,1462,263,71375
SETL-9002,pay_tzjko0mtglhug0,211900,4238,762,206900
SETL-9002,pay_qkwqh5k2y77z69,489500,9790,1762,477948
SETL-9003,pay_w56fkps0dxme4p,1412300,28246,5084,1378970
SETL-9003,pay_umygy0z4evldql,503600,10072,1812,491716
SETL-9003,pay_y181acjbc2swso,1314600,26292,4732,1283576
SETL-9003,pay_wi9s3w563btkf6,101200,2024,364,98812
SETL-9003,pay_4c6lbpj8t22c50,107800,2156,388,105256
SETL-9003,pay_zwdz09wftbgm55,113100,2262,407,110431
SETL-9003,pay_55jxurgowyoo5y,696500,13930,2507,680063
SETL-9003,pay_x7zcgdc5tao1cj,1332100,26642,4795,1300663
SETL-9003,pay_fj6ijkuuhclrr6,184400,3688,663,180049
SETL-9004,pay_iyfrwskp6rfe64,1179200,23584,4245,1151371
SETL-9004,pay_doz6wyqmlh13c7,854700,17094,3076,834530
SETL-9004,pay_fqot8hljefy3zb,93300,1866,335,91099
SETL-9004,pay_r25mdf7fr91ipw,133300,2666,479,130155
SETL-9004,pay_2xk2pthowq1gaz,120800,2416,434,117950
SETL-9004,pay_as6y3vg6v5t1dx,118100,2362,425,115313
SETL-9004,pay_gsic43olfark6o,167400,3348,602,163450
SETL-9004,pay_egi3qupxbfej2x,533800,10676,1921,521203
SETL-9004,pay_w2292mtr6snglh,162700,3254,585,158861
SETL-9005,pay_vm4w3zkwdeekgy,143200,2864,515,139821
SETL-9005,pay_cq1xgbngz6wmdw,507600,10152,1827,495621
SETL-9005,pay_m44gv3z6bz8uug,1290800,25816,4646,1260338
SETL-9005,pay_uh80q7tw1puwsn,862500,17250,3105,842145
SETL-9005,pay_rr5pcxa5s00i85,30200,604,108,29488
SETL-9005,pay_hasez2nx1wvbd4,286600,5732,1031,279837
SETL-9005,pay_msdn1mxf1pi2oo,1553200,31064,5591,1516545
SETL-9005,pay_rdu4xszjnvc7hr,43500,870,156,42474
SETL-9005,pay_1yy1j2jcn9j3gc,107100,2142,385,104573
SETL-9006,pay_g4fbl98k03w0fg,473100,9462,1703,461935
SETL-9006,pay_shkoecubods1ee,595700,11914,2144,581642
SETL-9006,pay_txw1vzc7d2kd1p,249600,4992,898,243710
SETL-9006,pay_gbmfbuvldd9fkx,262900,5258,946,256696
SETL-9006,pay_vzwd3kpug99w59,41400,828,149,40423
SETL-9006,pay_f4aq7b7v1w4k2t,2245500,44910,8083,2192507
SETL-9006,pay_s26fmr5ll1d9s9,349700,6994,1258,341448
SETL-9006,pay_ta83ru7myow8dt,75000,1500,270,73230
SETL-9006,pay_azbcgjc36oqolo,299800,5996,1079,292725
SETL-9007,pay_xrw6tm2o04k0lt,182500,3650,657,178193
SETL-9007,pay_fmpkxvhagkc4lo,62500,1250,225,61025
SETL-9007,pay_53ykyydu3asnrm,719200,14384,2589,702227
SETL-9007,pay_axf5x9ee346z7w,2998800,59976,10795,2928029
SETL-9007,pay_fovd79c9mv9e40,1790400,35808,6445,1748147
SETL-9007,pay_jdtvv2y4xkss0k,2659200,53184,9573,2596443
SETL-9007,pay_mfs0iuduahgk6t,84900,1698,305,82897
SETL-9007,pay_deri4k5ogz2uea,1231500,24630,4433,1202437
SETL-9007,pay_jpxgh30153sfls,394500,7890,1420,385190
SETL-9008,pay_houu9sijpyueon,90300,1806,325,88169
SETL-9008,pay_fu8iogxpbwhvnz,452600,9052,1629,441919
SETL-9008,pay_u4bj3bqrr87iyo,423600,8472,1524,413604
SETL-9008,pay_k00ilu6vfua9bq,1721600,34432,6197,1680971
SETL-9008,pay_u9mjyg4s3meiur,1165100,23302,4194,1137604
SETL-9008,pay_t939ayq6ww8yl6,61200,1224,220,59756
SETL-9008,pay_ftlo4qdbxvh7ka,611800,12236,2202,597362
SETL-9008,pay_eb8753ayeqahth,78800,1576,283,76941
SETL-9008,pay_fz8obk3g84utdd,307100,6142,1105,299853
SETL-9009,pay_lslaym0wbglmy6,454700,9094,1636,443970
SETL-9009,pay_nvuprt77ggkg4w,99500,1990,358,97152
SETL-9009,pay_3c42yfkjfpnqvu,143900,2878,518,140504
SETL-9009,pay_4f2k1xerp3lyex,120600,2412,434,117754
SETL-9009,pay_pp3xvkvzrgol0w,201500,4030,725,196745
SETL-9009,pay_076a3kkrzd5e9p,38900,778,140,37982
SETL-9009,pay_t9d31k9qm3p91i,270800,5416,974,264410
SETL-9009,pay_hzy7ez9gtwz1uu,96500,1930,347,94223
SETL-9009,pay_eoqgvzhqjy62ze,231800,4636,834,226330
SETL-9010,pay_z1egntb34kuqaa,223000,4460,802,217738
SETL-9010,pay_dn8wwiif86lthe,854800,17096,3077,834627
SETL-9010,pay_olnntxrgn74f9y,4659900,93198,16775,4549927
SETL-9010,pay_u93mzywr7mkgxu,134600,2692,484,131424
SETL-9010,pay_mdzqcbzamd270s,213400,4268,768,208364
SETL-9010,pay_hkf286utios5hr,201300,4026,724,196550
SETL-9010,pay_307hdhjo5ctzet,106200,2124,382,103694
SETL-9010,pay_7rln36v1mzb3i4,723300,14466,2603,706231
SETL-9010,pay_g1wjuiiymyrsvz,406600,8132,1463,397005
SETL-9011,pay_y857nz3a8v4x7y,242800,4856,874,237070
SETL-9011,pay_c9t199dxj37c9h,3233100,64662,11639,3156799
SETL-9011,pay_6w51ob537qo4z5,186462,3729,671,182062
SETL-9011,pay_lvak9w9pfb3hn1,963700,19274,3469,940957
SETL-9011,pay_xanj4x5a5xin9d,337200,6744,1213,329243
SETL-9011,pay_xoleyrvxoieves,54400,1088,195,53117
SETL-9011,pay_38gl2zxjmylrq1,58200,1164,209,56827
SETL-9011,pay_ec2ihoy7dv7c9h,1050700,21014,3782,1025904
SETL-9011,pay_dej31gymdm0l2l,342300,6846,1232,334222
SETL-9012,pay_stqmgvu4isotn9,588000,11760,2116,574124
SETL-9012,pay_sq3b9so0uswbko,123500,2470,444,120586
SETL-9012,pay_ud2zdlx1q8f6jn,569800,11396,2051,556353
SETL-9012,pay_0k3wy8y2deg3zg,2312700,46254,8325,2258121
SETL-9012,pay_h1xjg2y8rgybxk,123200,2464,443,120293
SETL-9012,pay_x9fq9tea7187f8,196600,3932,707,191961
SETL-9012,pay_2lk2n7h9g1a07h,430200,8604,1548,420048
SETL-9012,pay_1qcwq85x7pwo6c,2133300,42666,7679,2082955
SETL-9012,pay_yhey66p61xufct,396500,7930,1427,387143
SETL-9013,pay_rwedbcy8nyfwdc,123600,2472,444,120684
SETL-9013,pay_p9p9w4j66cnolj,45500,910,163,44427
SETL-9013,pay_pddhcvsqame4yr,41900,838,150,40912
SETL-9013,pay_dfhg6w3stt1eqc,290900,5818,1047,284035
SETL-9013,pay_5ggomf9pml9ln1,887200,17744,3193,866263
SETL-9013,pay_ta7ypp5zp7r1m2,88800,1776,319,86705
SETL-9013,pay_u1hbj6txfo6v4e,64300,1286,231,62783
SETL-9013,pay_dalmjegqtoamdv,390000,7800,1404,380796
SETL-9013,pay_iusexu1srdv1l3,401200,8024,1444,391732
SETL-9014,pay_4pbgx25fplo1ur,42800,856,154,41790
SETL-9014,pay_tlrj4bdfhj4d0j,96100,1922,345,93833
SETL-9014,pay_omtzzf8adf7pch,353300,7066,1271,344963
SETL-9014,pay_ilkjxjq5nv8oga,53300,1066,191,52043
SETL-9014,pay_wrsb4gf16ye0a4,167300,3346,602,163352
SETL-9014,pay_muurmybd2qe4pa,291800,5836,1050,284914
SETL-9014,pay_rp0aga24smux2r,128800,2576,463,125761
SETL-9014,pay_1tw9zyn6sjchzj,59700,1194,214,58292
