settlement_id,settlement_date,gross_amount,fee_amount,tax_amount,adjustment_amount,net_amount,settlement_utr,status,created_at
SETL-9001,2024-12-07 12:51:00,5646300,112926,20326,0,5513048,UTR642181600903,settled,2024-12-07 12:51:00
SETL-9002,2024-12-07 14:14:00,1605500,32110,5779,0,1567611,UTR926818232569,settled,2024-12-07 14:14:00
SETL-9003,2024-12-08 01:16:00,5765600,115312,20756,0,5629532,UTR523073267793,settled,2024-12-08 01:16:00
SETL-9004,2024-12-08 17:28:00,3363300,67266,12107,0,3283927,UTR228631509102,settled,2024-12-08 17:28:00
SETL-9005,2024-12-09 11:11:00,4824700,96494,17368,0,4710838,UTR165581090583,settled,2024-12-09 11:11:00
SETL-9006,2024-12-09 12:25:00,4592700,91854,16533,0,4484313,UTR608173385546,settled,2024-12-09 12:25:00
SETL-9007,2024-12-10 06:28:00,10123500,202470,36444,0,9884586,UTR549052235770,settled,2024-12-10 06:28:00
SETL-9008,2024-12-10 20:24:00,4912100,98242,17683,0,4796175,UTR628562118300,settled,2024-12-10 20:24:00
SETL-9009,2024-12-10 23:48:00,1658200,33164,5969,0,1619067,UTR546800751007,settled,2024-12-10 23:48:00
SETL-9010,2024-12-11 08:49:00,7523100,150462,27083,0,7345555,UTR356124109617,settled,2024-12-11 08:49:00
SETL-9011,2024-12-11 09:23:00,6468862,129377,23287,0,6316198,UTR392137760599,settled,2024-12-11 09:23:00
SETL-9012,2024-12-12 12:58:00,6873800,137476,24745,0,6711579,UTR841251967484,settled,2024-12-12 12:58:00
SETL-9013,2024-12-14 14:36:00,2333400,46668,8400,0,2278332,UTR371018919289,settled,2024-12-14 14:36:00
SETL-9014,2024-12-14 18:30:00,1574300,31486,5667,0,1537147,UTR713162322852,settled,2024-12-14 18:30:00
SETL-9015,2024-12-14 18:40:00,5335200,106704,19206,0,5209290,UTR966086816343,settled,2024-12-14 18:40:00
SETL-9016,2024-12-15 18:42:00,4764000,95280,17150,0,4651570,UTR431251806612,settled,2024-12-15 18:42:00
SETL-9017,2024-12-16 07:44:00,8430400,168608,30349,0,8231443,UTR549117195229,settled,2024-12-16 07:44:00
SETL-9018,2024-12-18 11:36:00,2980600,59612,10730,0,2910258,UTR192109792426,settled,2024-12-18 11:36:00
SETL-9019,2024-12-18 15:18:00,6011413,120228,21641,0,5869544,UTR799419437650,settled,2024-12-18 15:18:00
SETL-9020,2024-12-20 06:55:00,3564600,71292,12832,0,3480476,UTR325487640087,settled,2024-12-20 06:55:00
SETL-9021,2024-12-20 08:48:00,6996500,139930,25187,0,6831383,UTR508633354870,settled,2024-12-20 08:48:00
SETL-9022,2024-12-20 11:29:00,4772710,95454,17181,0,4660075,UTR959715822589,settled,2024-12-20 11:29:00
SETL-9023,2024-12-21 07:31:00,3248200,64964,11693,0,3171543,UTR689463480106,settled,2024-12-21 07:31:00
SETL-9024,2024-11-25 20:42:00,9354100,187082,33674,0,9133344,UTR567947908034,settled,2024-11-25 20:42:00
SETL-9025,2024-11-27 03:21:00,2166400,43328,7799,0,2115273,UTR596305599781,settled,2024-11-27 03:21:00
SETL-9026,2024-11-27 11:28:00,6435800,128716,23168,0,6283916,UTR100179495626,settled,2024-11-27 11:28:00
SETL-9027,2024-11-28 02:42:00,2117800,42356,7624,0,2067820,UTR610296419114,settled,2024-11-28 02:42:00
SETL-9028,2024-11-28 13:56:00,2989600,59792,10762,0,2919046,UTR420493594618,settled,2024-11-28 13:56:00
SETL-9029,2024-11-30 04:33:00,4676800,93536,16836,0,4566428,UTR100718898818,settled,2024-11-30 04:33:00
SETL-9030,2024-11-30 15:15:00,2392800,47856,8614,0,2336330,UTR632240124282,settled,2024-11-30 15:15:00
SETL-9031,2024-12-02 02:14:00,2235500,44710,8047,0,2182743,UTR758303823468,settled,2024-12-02 02:14:00
SETL-9032,2024-12-03 19:56:00,3088600,61772,11118,0,3015710,UTR519532396020,settled,2024-12-03 19:56:00
SETL-9033,2024-12-04 06:28:00,2173200,43464,7823,0,2121913,UTR486543800499,settled,2024-12-04 06:28:00
SETL-9034,2024-12-06 00:15:00,4174931,83498,15029,0,4076404,UTR795107981187,settled,2024-12-06 00:15:00
SETL-9035,2024-12-06 03:50:00,8373026,167460,30142,0,8175424,UTR740863899140,settled,2024-12-06 03:50:00
SETL-2A-001,2024-12-27 10:00:00,1800000,36000,6480,0,1757520,UTR2A001BATCH123,settled,2024-12-27 10:00:00
SETL-2A-002,2024-12-28 14:00:00,1000000,20000,3600,0,930000,UTR2A002MISMATCH,settled,2024-12-28 14:00:00
SETL-2A-003,2024-12-29 09:00:00,1000000,30000,5400,200000,764600,UTR2A003REFUND01,settled,2024-12-29 09:00:00
SETL-2A-004,2024-12-30 11:00:00,1250000,25000,0,0,1225000,UTR2A004NOGST001,settled,2024-12-30 11:00:00
SETL-2A-005,2024-12-31 09:00:00,900000,18000,3240,0,878760,UTR2A005AMBIG001,settled,2024-12-31 09:00:00
SETL-2B-001,2024-12-31 01:00:00,500000,10000,1800,0,488200,UTR2BPENDING001,pending,2024-12-31 01:00:00
