shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at,created_at
SHIP-10001,ORD-10001,Bluedart,TRK126855092,DELIVERED,2024-05-05 20:14:00,2024-05-07 10:14:00,2024-05-05 20:14:00
SHIP-10002,ORD-10002,Delhivery,TRK890779946,DELIVERED,2024-01-17 23:08:00,2024-01-19 04:08:00,2024-01-17 23:08:00
SHIP-10003,ORD-10003,DTDC,TRK553035110,DELIVERED,2024-10-14 14:49:00,2024-10-16 03:49:00,2024-10-14 14:49:00
SHIP-10004,ORD-10004,Delhivery,TRK642621108,DELIVERED,2024-08-18 17:18:00,2024-08-20 05:18:00,2024-08-18 17:18:00
SHIP-10005,ORD-10005,DTDC,TRK550455977,DELIVERED,2024-06-24 08:12:00,2024-06-26 01:12:00,2024-06-24 08:12:00
SHIP-10006,ORD-10006,Bluedart,TRK914763202,DELIVERED,2024-07-13 22:34:00,2024-07-15 19:34:00,2024-07-13 22:34:00
SHIP-10007,ORD-10007,Ekart,TRK266944844,DELIVERED,2024-08-24 09:19:00,2024-08-25 15:19:00,2024-08-24 09:19:00
SHIP-10008,ORD-10008,Bluedart,TRK507943839,DELIVERED,2024-11-18 13:07:00,2024-11-21 03:07:00,2024-11-18 13:07:00
SHIP-10009,ORD-10009,Ekart,TRK966647391,DELIVERED,2024-01-25 17:20:00,2024-01-28 03:20:00,2024-01-25 17:20:00
SHIP-10010,ORD-10010,Bluedart,TRK506448196,DELIVERED,2024-07-13 23:40:00,2024-07-16 15:40:00,2024-07-13 23:40:00
SHIP-10011,ORD-10011,DTDC,TRK488302652,DELIVERED,2024-06-30 15:01:00,2024-07-01 17:01:00,2024-06-30 15:01:00
SHIP-10012,ORD-10012,Delhivery,TRK930075810,DELIVERED,2024-10-01 07:25:00,2024-10-02 21:25:00,2024-10-01 07:25:00
SHIP-10013,ORD-10013,Bluedart,TRK508157429,DELIVERED,2024-04-23 14:38:00,2024-04-25 00:38:00,2024-04-23 14:38:00
SHIP-10014,ORD-10014,Ekart,TRK481469012,DELIVERED,2024-06-11 02:19:00,2024-06-13 22:19:00,2024-06-11 02:19:00
SHIP-10015,ORD-10015,Bluedart,TRK754049436,DELIVERED,2024-07-22 19:44:00,2024-07-25 17:44:00,2024-07-22 19:44:00
SHIP-10016,ORD-10016,Delhivery,TRK275452091,DELIVERED,2024-10-15 07:32:00,2024-10-17 23:32:00,2024-10-15 07:32:00
SHIP-10017,ORD-10017,DTDC,TRK335809993,DELIVERED,2024-07-04 14:26:00,2024-07-06 04:26:00,2024-07-04 14:26:00
SHIP-10018,ORD-10018,Bluedart,TRK964411347,DELIVERED,2024-02-26 18:47:00,2024-02-27 22:47:00,2024-02-26 18:47:00
SHIP-10019,ORD-10019,Delhivery,TRK709004943,DELIVERED,2024-07-17 04:51:00,2024-07-18 17:51:00,2024-07-17 04:51:00
SHIP-10020,ORD-10020,FedEx,TRK524806516,DELIVERED,2024-01-07 18:03:00,2024-01-09 03:03:00,2024-01-07 18:03:00
SHIP-10022,ORD-10022,Ekart,TRK249926919,DELIVERED,2024-05-15 15:50:00,2024-05-18 01:50:00,2024-05-15 15:50:00
SHIP-10023,ORD-10023,Ekart,TRK902099969,DELIVERED,2024-11-24 16:53:00,2024-11-26 17:53:00,2024-11-24 16:53:00
SHIP-10024,ORD-10024,Ekart,TRK335493870,IN_TRANSIT,2024-09-28 10:57:00,,2024-09-28 10:57:00
SHIP-10025,ORD-10025,DTDC,TRK629908599,DELIVERED,2024-06-06 14:22:00,2024-06-07 21:22:00,2024-06-06 14:22:00
SHIP-10026,ORD-10026,Delhivery,TRK773715057,DELIVERED,2024-02-06 12:57:00,2024-02-09 02:57:00,2024-02-06 12:57:00
SHIP-10027,ORD-10027,Bluedart,TRK513140753,DELIVERED,2024-05-16 13:11:00,2024-05-18 22:11:00,2024-05-16 13:11:00
SHIP-10029,ORD-10029,Ekart,TRK694021782,DELIVERED,2024-08-19 09:29:00,2024-08-22 04:29:00,2024-08-19 09:29:00
SHIP-10030,ORD-10030,Bluedart,TRK831980933,DELIVERED,2024-10-10 21:45:00,2024-10-13 14:45:00,2024-10-10 21:45:00
SHIP-10031,ORD-10031,Ekart,TRK219778234,DELIVERED,2024-04-27 14:05:00,2024-04-29 19:05:00,2024-04-27 14:05:00
SHIP-10032,ORD-10032,Bluedart,TRK875340444,DELIVERED,2024-05-01 22:57:00,2024-05-04 06:57:00,2024-05-01 22:57:00
SHIP-10033,ORD-10033,Delhivery,TRK645119047,IN_TRANSIT,2024-05-05 06:59:00,,2024-05-05 06:59:00
SHIP-10034,ORD-10034,DTDC,TRK753876785,DELIVERED,2024-08-09 04:29:00,2024-08-12 04:29:00,2024-08-09 04:29:00
SHIP-10036,ORD-10036,Delhivery,TRK679153816,IN_TRANSIT,2024-04-09 04:47:00,,2024-04-09 04:47:00
SHIP-10037,ORD-10037,Bluedart,TRK743111853,DELIVERED,2024-08-24 14:09:00,2024-08-25 21:09:00,2024-08-24 14:09:00
SHIP-10038,ORD-10038,Ekart,TRK992994062,DELIVERED,2024-01-27 09:46:00,2024-01-28 12:46:00,2024-01-27 09:46:00
SHIP-10039,ORD-10039,Delhivery,TRK709194872,IN_TRANSIT,2024-07-27 23:49:00,,2024-07-27 23:49:00
SHIP-10040,ORD-10040,FedEx,TRK976198296,DELIVERED,2024-07-13 23:25:00,2024-07-15 07:25:00,2024-07-13 23:25:00
SHIP-10041,ORD-10041,Delhivery,TRK808402051,DELIVERED,2024-10-12 20:48:00,2024-10-14 06:48:00,2024-10-12 20:48:00
SHIP-10043,ORD-10043,Ekart,TRK666585408,DELIVERED,2024-10-27 10:40:00,2024-10-28 23:40:00,2024-10-27 10:40:00
SHIP-10044,ORD-10044,DTDC,TRK910959828,DELIVERED,2024-09-17 14:59:00,2024-09-20 11:59:00,2024-09-17 14:59:00
SHIP-10045,ORD-10045,Ekart,TRK528414718,IN_TRANSIT,2024-05-01 05:21:00,,2024-05-01 05:21:00
SHIP-10046,ORD-10046,FedEx,TRK655742829,DELIVERED,2024-01-22 08:09:00,2024-01-23 22:09:00,2024-01-22 08:09:00
SHIP-10047,ORD-10047,Bluedart,TRK463016614,DELIVERED,2024-04-15 20:56:00,2024-04-17 10:56:00,2024-04-15 20:56:00
SHIP-10048,ORD-10048,DTDC,TRK336456621,DELIVERED,2024-12-10 03:24:00,2024-12-11 17:24:00,2024-12-10 03:24:00
SHIP-10049,ORD-10049,Bluedart,TRK133729406,DELIVERED,2024-11-15 02:21:00,2024-11-17 10:21:00,2024-11-15 02:21:00
SHIP-10051,ORD-10051,Delhivery,TRK399012686,DELIVERED,2024-03-22 03:01:00,2024-03-24 13:01:00,2024-03-22 03:01:00
SHIP-10052,ORD-10052,Delhivery,TRK876693898,IN_TRANSIT,2024-12-08 17:28:00,,2024-12-08 17:28:00
SHIP-10053,ORD-10053,DTDC,TRK607526654,DELIVERED,2024-03-01 01:00:00,2024-03-03 03:00:00,2024-03-01 01:00:00
SHIP-10054,ORD-10054,Delhivery,TRK201281557,DELIVERED,2024-04-18 17:37:00,2024-04-20 15:37:00,2024-04-18 17:37:00
SHIP-10055,ORD-10055,FedEx,TRK541417711,DELIVERED,2024-05-08 08:07:00,2024-05-11 03:07:00,2024-05-08 08:07:00
SHIP-10056,ORD-10056,Bluedart,TRK165082363,DELIVERED,2024-06-19 20:54:00,2024-06-21 02:54:00,2024-06-19 20:54:00
SHIP-10057,ORD-10057,Delhivery,TRK305718272,DELIVERED,2024-10-10 18:28:00,2024-10-12 02:28:00,2024-10-10 18:28:00
SHIP-10058,ORD-10058,FedEx,TRK297018781,DELIVERED,2024-10-06 15:01:00,2024-10-07 19:01:00,2024-10-06 15:01:00
SHIP-10059,ORD-10059,FedEx,TRK967607278,DELIVERED,2024-01-23 08:25:00,2024-01-24 14:25:00,2024-01-23 08:25:00
SHIP-10060,ORD-10060,Bluedart,TRK800235246,IN_TRANSIT,2024-12-15 13:44:00,,2024-12-15 13:44:00
SHIP-10061,ORD-10061,Bluedart,TRK909134796,DELIVERED,2024-05-01 16:57:00,2024-05-03 18:57:00,2024-05-01 16:57:00
SHIP-10062,ORD-10062,FedEx,TRK616854671,DELIVERED,2024-06-20 08:07:00,2024-06-21 11:07:00,2024-06-20 08:07:00
SHIP-10063,ORD-10063,Delhivery,TRK506919288,DELIVERED,2024-02-26 07:11:00,2024-02-27 23:11:00,2024-02-26 07:11:00
SHIP-10064,ORD-10064,FedEx,TRK406284028,DELIVERED,2024-08-24 10:23:00,2024-08-27 04:23:00,2024-08-24 10:23:00
SHIP-10065,ORD-10065,FedEx,TRK266211829,DELIVERED,2024-12-03 18:28:00,2024-12-04 21:28:00,2024-12-03 18:28:00
SHIP-10066,ORD-10066,DTDC,TRK889991777,DELIVERED,2024-11-25 08:27:00,2024-11-26 11:27:00,2024-11-25 08:27:00
SHIP-10067,ORD-10067,Bluedart,TRK727255918,DELIVERED,2024-03-01 06:26:00,2024-03-02 16:26:00,2024-03-01 06:26:00
SHIP-10068,ORD-10068,Bluedart,TRK645276696,DELIVERED,2024-11-02 00:40:00,2024-11-03 04:40:00,2024-11-02 00:40:00
SHIP-10069,ORD-10069,DTDC,TRK172972420,DELIVERED,2024-09-18 16:26:00,2024-09-20 17:26:00,2024-09-18 16:26:00
SHIP-10070,ORD-10070,Bluedart,TRK711684318,DELIVERED,2024-08-11 07:44:00,2024-08-13 22:44:00,2024-08-11 07:44:00
SHIP-10071,ORD-10071,Bluedart,TRK550139320,DELIVERED,2024-12-10 06:28:00,2024-12-12 15:28:00,2024-12-10 06:28:00
SHIP-10072,ORD-10072,Ekart,TRK379995032,DELIVERED,2024-12-05 19:50:00,2024-12-07 10:50:00,2024-12-05 19:50:00
SHIP-10073,ORD-10073,Ekart,TRK524971817,DELIVERED,2024-07-29 01:44:00,2024-07-31 06:44:00,2024-07-29 01:44:00
SHIP-10074,ORD-10074,Ekart,TRK907308348,IN_TRANSIT,2024-12-06 18:51:00,,2024-12-06 18:51:00
SHIP-10075,ORD-10075,FedEx,TRK766964667,IN_TRANSIT,2024-07-27 03:10:00,,2024-07-27 03:10:00
SHIP-10076,ORD-10076,Bluedart,TRK677280546,DELIVERED,2024-10-24 09:51:00,2024-10-25 17:51:00,2024-10-24 09:51:00
SHIP-10077,ORD-10077,Ekart,TRK173864104,DELIVERED,2024-09-19 08:52:00,2024-09-21 02:52:00,2024-09-19 08:52:00
SHIP-10078,ORD-10078,Delhivery,TRK570497096,DELIVERED,2024-05-26 07:52:00,2024-05-28 22:52:00,2024-05-26 07:52:00
SHIP-10079,ORD-10079,DTDC,TRK108399996,DELIVERED,2024-12-11 08:23:00,2024-12-13 03:23:00,2024-12-11 08:23:00
SHIP-10080,ORD-10080,Bluedart,TRK244193987,DELIVERED,2024-05-06 00:44:00,2024-05-08 23:44:00,2024-05-06 00:44:00
SHIP-10081,ORD-10081,DTDC,TRK266910922,DELIVERED,2024-11-19 06:21:00,2024-11-22 03:21:00,2024-11-19 06:21:00
SHIP-10082,ORD-10082,Ekart,TRK318610946,DELIVERED,2024-05-04 18:42:00,2024-05-07 02:42:00,2024-05-04 18:42:00
SHIP-10083,ORD-10083,FedEx,TRK369639388,IN_TRANSIT,2024-04-01 05:43:00,,2024-04-01 05:43:00
SHIP-10084,ORD-10084,Bluedart,TRK781057736,DELIVERED,2024-03-10 04:47:00,2024-03-11 06:47:00,2024-03-10 04:47:00
SHIP-10085,ORD-10085,Bluedart,TRK458153605,DELIVERED,2024-08-07 07:30:00,2024-08-08 17:30:00,2024-08-07 07:30:00
SHIP-10086,ORD-10086,FedEx,TRK692362342,DELIVERED,2024-05-07 19:21:00,2024-05-08 19:21:00,2024-05-07 19:21:00
SHIP-10087,ORD-10087,Bluedart,TRK180792472,IN_TRANSIT,2024-05-02 18:44:00,,2024-05-02 18:44:00
SHIP-10088,ORD-10088,DTDC,TRK138684919,DELIVERED,2024-06-21 11:07:00,2024-06-23 22:07:00,2024-06-21 11:07:00
SHIP-10089,ORD-10089,Delhivery,TRK561479973,DELIVERED,2024-07-16 13:20:00,2024-07-18 12:20:00,2024-07-16 13:20:00
SHIP-10090,ORD-10090,Bluedart,TRK484194737,DELIVERED,2024-06-19 06:35:00,2024-06-22 00:35:00,2024-06-19 06:35:00
SHIP-10091,ORD-10091,Bluedart,TRK479759538,DELIVERED,2024-10-27 17:06:00,2024-10-30 08:06:00,2024-10-27 17:06:00
SHIP-10092,ORD-10092,Delhivery,TRK354194771,DELIVERED,2024-06-29 21:05:00,2024-07-01 23:05:00,2024-06-29 21:05:00
SHIP-10093,ORD-10093,Bluedart,TRK292587044,DELIVERED,2024-10-07 12:13:00,2024-10-09 14:13:00,2024-10-07 12:13:00
SHIP-10094,ORD-10094,Delhivery,TRK386480450,DELIVERED,2024-09-05 09:40:00,2024-09-07 09:40:00,2024-09-05 09:40:00
SHIP-10095,ORD-10095,Bluedart,TRK605399561,DELIVERED,2024-08-28 00:54:00,2024-08-29 22:54:00,2024-08-28 00:54:00
SHIP-10096,ORD-10096,Ekart,TRK981044229,DELIVERED,2024-12-05 13:15:00,2024-12-07 03:15:00,2024-12-05 13:15:00
