payment_id,order_id,amount,currency,status,payment_method,payment_captured_at,created_at
pay_w76xatoaztkszp,ORD-10001,750500,INR,captured,upi,2024-05-05 07:14:00,2024-05-05 07:14:00
pay_ddfgs3jonou9iy,ORD-10002,495500,INR,captured,card,2024-01-17 00:08:00,2024-01-17 00:08:00
pay_x41dntcagrp2u4,ORD-10003,193300,INR,captured,upi,2024-10-14 06:49:00,2024-10-14 06:49:00
pay_67i6yuj7yktxg4,ORD-10004,380400,INR,captured,netbanking,2024-08-17 18:18:00,2024-08-17 18:18:00
pay_8v1zocfi4o6l1f,ORD-10005,223000,INR,captured,card,2024-06-23 08:12:00,2024-06-23 08:12:00
pay_s9bp4m18o1bj9r,ORD-10006,803800,INR,captured,netbanking,2024-07-13 03:34:00,2024-07-13 03:34:00
pay_tngvn1kicjn2fo,ORD-10007,398700,INR,captured,wallet,2024-08-23 17:19:00,2024-08-23 17:19:00
pay_dalmjegqtoamdv,ORD-10008,390000,INR,captured,netbanking,2024-11-17 20:07:00,2024-11-17 20:07:00
pay_5ao20u9isygjjf,ORD-10009,44100,INR,captured,upi,2024-01-24 21:20:00,2024-01-24 21:20:00
pay_pprcjiwvhdk8lw,ORD-10010,232600,INR,captured,upi,2024-07-13 08:40:00,2024-07-13 08:40:00
pay_pp3xvkvzrgol0w,ORD-10011,201500,INR,captured,card,2024-06-30 07:01:00,2024-06-30 07:01:00
pay_2lk2n7h9g1a07h,ORD-10012,430200,INR,captured,card,2024-09-30 23:25:00,2024-09-30 23:25:00
pay_3c42yfkjfpnqvu,ORD-10013,143900,INR,captured,netbanking,2024-04-22 21:38:00,2024-04-22 21:38:00
pay_s7yt2m6twd1xmx,ORD-10014,176100,INR,captured,card,2024-06-10 12:19:00,2024-06-10 12:19:00
pay_uxx8l2ddh0uyhn,ORD-10015,488800,INR,captured,card,2024-07-21 20:44:00,2024-07-21 20:44:00
pay_1vsmado8e7flqh,ORD-10016,760100,INR,captured,upi,2024-10-14 17:32:00,2024-10-14 17:32:00
pay_mdzqcbzamd270s,ORD-10017,213400,INR,captured,upi,2024-07-04 07:26:00,2024-07-04 07:26:00
pay_fu8iogxpbwhvnz,ORD-10018,452600,INR,captured,card,2024-02-26 04:47:00,2024-02-26 04:47:00
pay_kz2u2tnheyr8ln,ORD-10019,253900,INR,captured,wallet,2024-07-16 12:51:00,2024-07-16 12:51:00
pay_vm4w3zkwdeekgy,ORD-10020,143200,INR,captured,card,2024-01-06 22:03:00,2024-01-06 22:03:00
pay_nvuprt77ggkg4w,ORD-10021,99500,INR,captured,card,2024-02-27 09:39:00,2024-02-27 09:39:00
pay_8rhnuxorzpgu2h,ORD-10022,374600,INR,captured,card,2024-05-14 16:50:00,2024-05-14 16:50:00
pay_jtgq01tee13n3b,ORD-10023,101000,INR,captured,card,2024-11-23 16:53:00,2024-11-23 16:53:00
pay_t9d31k9qm3p91i,ORD-10024,270800,INR,captured,upi,2024-09-28 00:57:00,2024-09-28 00:57:00
pay_y4vpw232utvg9k,ORD-10025,1689300,INR,captured,card,2024-06-06 07:22:00,2024-06-06 07:22:00
pay_j49yd82795e5iz,ORD-10026,548000,INR,captured,card,2024-02-05 17:57:00,2024-02-05 17:57:00
pay_1yrujoqw5dsk7n,ORD-10027,56800,INR,captured,upi,2024-05-15 17:11:00,2024-05-15 17:11:00
pay_la100qxmcthphj,ORD-10028,117200,INR,captured,card,2024-12-19 06:55:00,2024-12-19 06:55:00
pay_muurmybd2qe4pa,ORD-10029,291800,INR,captured,card,2024-08-19 03:29:00,2024-08-19 03:29:00
pay_hyexf7jxjn6fok,ORD-10030,1263700,INR,captured,card,2024-10-10 07:45:00,2024-10-10 07:45:00
pay_pddhcvsqame4yr,ORD-10031,41900,INR,captured,card,2024-04-27 03:05:00,2024-04-27 03:05:00
pay_n0dl5e11e9ftax,ORD-10032,571000,INR,captured,upi,2024-05-01 08:57:00,2024-05-01 08:57:00
pay_mh07wph6fe0mp2,ORD-10033,4597500,INR,captured,upi,2024-05-04 15:59:00,2024-05-04 15:59:00
pay_jdtvv2y4xkss0k,ORD-10034,2659200,INR,captured,upi,2024-08-08 11:29:00,2024-08-08 11:29:00
pay_22iniwc5amln4p,ORD-10035,367500,INR,captured,upi,2024-11-26 03:21:00,2024-11-26 03:21:00
pay_y181acjbc2swso,ORD-10036,1314600,INR,captured,upi,2024-04-08 06:47:00,2024-04-08 06:47:00
pay_ctwjlsh3tow4yc,ORD-10037,163900,INR,captured,netbanking,2024-08-24 08:09:00,2024-08-24 08:09:00
pay_04cdpqvl00ezzf,ORD-10038,49900,INR,captured,netbanking,2024-01-26 20:46:00,2024-01-26 20:46:00
pay_s2zge2j51b3jcz,ORD-10039,286100,INR,captured,card,2024-07-27 15:49:00,2024-07-27 15:49:00
pay_wrsb4gf16ye0a4,ORD-10040,167300,INR,captured,card,2024-07-13 00:25:00,2024-07-13 00:25:00
pay_iqnf74t60plozj,ORD-10041,992900,INR,captured,upi,2024-10-11 21:48:00,2024-10-11 21:48:00
pay_ueybisbo551ldq,ORD-10042,656500,INR,captured,upi,2024-01-30 18:59:00,2024-01-30 18:59:00
pay_hukwqvr1h61iao,ORD-10043,120400,INR,captured,netbanking,2024-10-26 15:40:00,2024-10-26 15:40:00
pay_twyam1n0lh9p89,ORD-10044,73100,INR,captured,card,2024-09-17 02:59:00,2024-09-17 02:59:00
pay_zd76szn9dde3cu,ORD-10045,452900,INR,captured,netbanking,2024-04-30 12:21:00,2024-04-30 12:21:00
pay_xek47o3lqi7e1d,ORD-10046,293400,INR,captured,upi,2024-01-21 19:09:00,2024-01-21 19:09:00
pay_fqot8hljefy3zb,ORD-10047,93300,INR,captured,card,2024-04-14 21:56:00,2024-04-14 21:56:00
pay_fz8obk3g84utdd,ORD-10048,307100,INR,captured,upi,2024-12-09 20:24:00,2024-12-09 20:24:00
pay_ec2ihoy7dv7c9h,ORD-10049,1050700,INR,captured,card,2024-11-14 18:21:00,2024-11-14 18:21:00
